RTT histogram:
29.085693 119
30.950109 16
32.814526 13
34.678942 0
36.543359 1
38.407775 0
40.272192 0
42.136608 0
44.001025 0
45.865441 0
47.729858 1
49.594275 0
51.458691 0
53.323108 0
55.187524 0
57.051941 0
58.916357 0
60.780774 0
62.645190 0
64.509607 0
