RTT histogram:
30.145263 86
31.776696 53
33.408129 1
35.039562 5
36.670995 0
38.302428 0
39.933862 0
41.565295 0
43.196728 1
44.828161 0
46.459594 0
48.091028 0
49.722461 1
51.353894 0
52.985327 1
54.616760 0
56.248194 2
57.879627 0
59.511060 0
61.142493 0
